Timestamp,Applicant Name,Score from 1 to 5 (1 is lowest)
2023-02-02 19:51:57.672,15A,5
2023-02-02 19:51:58.686,15A,4
2023-02-02 19:51:59.058,15A,5
2023-02-02 19:52:00.656,15A,5
2023-02-02 19:52:01.312,15A,4
2023-02-02 19:52:03.642,15A,5
2023-02-02 19:52:06.594,15A,4
2023-02-02 19:52:08.522,15A,5
2023-02-02 19:52:08.577,15A,5
2023-02-02 19:52:09.032,15A,4
2023-02-02 19:52:14.219,15A,5
2023-02-02 19:52:15.956,15A,4
2023-02-02 19:52:16.102,15A,4
2023-02-02 19:52:17.205,15A,4
2023-02-02 19:52:19.090,15A,5
2023-02-02 19:52:26.669,15A,5
2023-02-02 19:52:33.225,15A,5
2023-02-02 19:52:42.610,15A,5
2023-02-02 19:53:45.241,15A,3
2023-02-02 19:56:04.171,16A,5
2023-02-02 19:56:17.007,16A,5
2023-02-02 19:56:49.449,16A,5
2023-02-02 19:57:03.848,16A,5
2023-02-02 19:57:24.069,16A,4
2023-02-02 19:58:16.953,16A,5
2023-02-02 19:58:47.920,16A,5
2023-02-02 19:58:59.088,16A,5
2023-02-02 19:59:01.164,16A,5
2023-02-02 19:59:03.987,16A,5
2023-02-02 19:59:06.756,16A,5
2023-02-02 19:59:10.218,16A,5
2023-02-02 19:59:10.844,16A,5
2023-02-02 19:59:12.677,16A,5
2023-02-02 19:59:16.012,16A,5
2023-02-02 19:59:27.176,16A,5
2023-02-02 19:59:27.203,16A,5
2023-02-02 19:59:33.129,16A,5
2023-02-02 19:59:36.800,16A,5
2023-02-02 19:59:38.598,16A,5
2023-02-02 19:59:39.232,16A,5
2023-02-02 19:59:43.784,16A,5
2023-02-02 19:59:46.770,16A,5
2023-02-02 19:59:47.437,16A,5
2023-02-02 19:59:52.741,16A,5
2023-02-02 19:59:54.849,16A,5
2023-02-02 20:00:13.856,16A,5
2023-02-02 20:05:04.798,16A,5
2023-02-02 20:05:12.981,16A,5
2023-02-02 20:03:53.464,17A,3
2023-02-02 20:07:02.502,17A,5
2023-02-02 20:10:21.073,17A,2
2023-02-02 20:10:21.552,17A,5
2023-02-02 20:10:21.844,17A,5
2023-02-02 20:10:25.495,17A,5
2023-02-02 20:10:26.488,17A,4
2023-02-02 20:10:26.497,17A,4
2023-02-02 20:10:27.888,17A,4
2023-02-02 20:10:28.221,17A,5
2023-02-02 20:10:31.141,17A,2
2023-02-02 20:10:31.951,17A,5
2023-02-02 20:10:35.341,17A,4
2023-02-02 20:10:36.418,17A,4
2023-02-02 20:10:36.525,17A,3
2023-02-02 20:10:37.360,17A,5
2023-02-02 20:10:38.582,17A,4
2023-02-02 20:10:39.948,17A,4
2023-02-02 20:10:40.682,17A,4
2023-02-02 20:10:41.271,17A,3
2023-02-02 20:10:41.339,17A,3
2023-02-02 20:10:41.585,17A,4
2023-02-02 20:10:46.938,17A,5
2023-02-02 20:10:49.315,17A,5
2023-02-02 20:11:01.395,17A,4
2023-02-02 20:11:01.798,17A,4
2023-02-02 20:11:02.974,17A,4
2023-02-02 20:11:14.362,17A,3
2023-02-02 20:11:18.694,17A,4
2023-02-02 20:11:53.176,17A,4
2023-02-02 20:12:18.850,17A,4
2023-02-02 20:12:18.883,17A,4
2023-02-02 20:18:37.614,18A,5
2023-02-02 20:18:41.041,18A,5
2023-02-02 20:20:42.276,18A,5
2023-02-02 20:20:42.500,18A,4
2023-02-02 20:20:44.295,18A,4
2023-02-02 20:20:47.635,18A,5
2023-02-02 20:20:48.175,18A,5
2023-02-02 20:20:51.875,18A,4
2023-02-02 20:20:52.511,18A,5
2023-02-02 20:20:52.839,18A,5
2023-02-02 20:20:54.575,18A,5
2023-02-02 20:20:54.949,18A,5
2023-02-02 20:20:55.081,18A,4
